dependencyName,nbDependents
github.com/stretchr/testify,259237
github.com/google/uuid,104877
golang.org/x/crypto,100633
google.golang.org/grpc,97228
github.com/spf13/cobra,93062
github.com/pkg/errors,92491
golang.org/x/net,76722
google.golang.org/protobuf,74971
github.com/sirupsen/logrus,71730
github.com/spf13/viper,64174
github.com/gin-gonic/gin,57649
github.com/golang/protobuf,55990
go.uber.org/zap,54361
github.com/prometheus/client_golang,49440
k8s.io/apimachinery,48655
github.com/gorilla/websocket,47668
github.com/lib/pq,47645
gopkg.in/yaml.v2,47612
github.com/gorilla/mux,44157
k8s.io/client-go,43639
golang.org/x/sync,43150
golang.org/x/sys,42369
gopkg.in/yaml.v3,41378
github.com/joho/godotenv,40356
k8s.io/api,39497
github.com/google/go-cmp,38640
github.com/spf13/pflag,35717
gorm.io/gorm,35470
golang.org/x/oauth2,32960
golang.org/x/text,32331
github.com/fsnotify/fsnotify,30708
github.com/go-sql-driver/mysql,30011
github.com/onsi/gomega,27764
golang.org/x/exp,25941
github.com/fatih/color,25562
github.com/BurntSushi/toml,25499
github.com/json-iterator/go,24742
golang.org/x/tools,23567
github.com/rs/zerolog,22697
github.com/aws/aws-sdk-go,21799
go.mongodb.org/mongo-driver,21325
github.com/golang/mock,21117
github.com/miekg/dns,20872
github.com/davecgh/go-spew,20400
sigs.k8s.io/controller-runtime,20300
google.golang.org/api,19953
github.com/mattn/go-sqlite3,19804
github.com/go-playground/validator/v10,19744
golang.org/x/time,19435
github.com/ghodss/yaml,19325
go.opentelemetry.io/otel,19256
github.com/gorilla/handlers,18884
github.com/urfave/cli/v2,17939
github.com/gogo/protobuf,17828
github.com/nats-io/nats.go,16737
github.com/imdario/mergo,16268
google.golang.org/genproto,15982
go.opentelemetry.io/otel/trace,15702
github.com/mitchellh/go-homedir,15526
gorm.io/driver/postgres,15510
github.com/mitchellh/mapstructure,15428
sigs.k8s.io/yaml,15070
github.com/bwmarrin/discordgo,14996
github.com/kr/pretty,14919
github.com/dgrijalva/jwt-go,14773
github.com/aws/aws-sdk-go-v2,14597
golang.org/x/term,14054
k8s.io/utils,14035
github.com/go-chi/chi/v5,14026
gorm.io/driver/mysql,13838
github.com/bitly/go-simplejson,13837
github.com/jmoiron/sqlx,13822
github.com/labstack/echo/v4,13796
github.com/aws/aws-sdk-go-v2/config,13517
github.com/golang-jwt/jwt/v5,13217
github.com/go-logr/logr,13162
go.opentelemetry.io/otel/sdk,13143
gopkg.in/go-playground/validator.v9,12933
github.com/hashicorp/hcl,12776
github.com/coreos/etcd,12773
github.com/docker/docker,12744
github.com/mitchellh/hashstructure,12741
k8s.io/klog/v2,12682
gopkg.in/src-d/go-git.v4,12609
github.com/prometheus/common,12473
github.com/onsi/ginkgo/v2,12458
github.com/onsi/ginkgo,12444
github.com/go-redis/redis/v8,12434
github.com/olekukonko/tablewriter,12351
github.com/oxtoacart/bpool,12314
github.com/jackc/pgx/v5,12308
github.com/spf13/cast,12251
github.com/redis/go-redis/v9,12137
github.com/lucas-clemente/quic-go,12108
github.com/fsouza/go-dockerclient,12084
github.com/ethereum/go-ethereum,12077
github.com/go-acme/lego/v3,12003
github.com/beevik/ntp,11772
github.com/rs/cors,11616
github.com/nlopes/slack,11542
